Company Symbol,Igroup,financial_year,Element_Id,Element_Name,P&L Cateogry,Calculated_Value
HFCL,Telecom - Services,2023,600005,Operating Profit%,Profit,44.54983706202621978900
HFCL,Telecom - Services,2023,600005,PBT%,Profit,39.94106286461426368500
HFCL,Telecom - Services,2023,600006,PAT%,Profit,37.74571695203684943300
HFCL,Telecom - Services,2024,60026,RevenueFromOperations,Revenue / Income,1.85039E+11
HFCL,Telecom - Services,2024,60027,OtherIncome,Revenue / Income,4158400000
HFCL,Telecom - Services,2024,60028,Income,Revenue / Income,1.89198E+11
HFCL,Telecom - Services,2024,60029,CostOfMaterialsConsumed,Expenses,82770700000
HFCL,Telecom - Services,2024,60031,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,Expenses,-4180500000
HFCL,Telecom - Services,2024,60032,EmployeeBenefitExpense,Expenses,13798200000
HFCL,Telecom - Services,2024,60033,FinanceCosts,Expenses,5813200000
HFCL,Telecom - Services,2024,60034,DepreciationDepletionAndAmortisationExpense,Expenses,3159500000
HFCL,Telecom - Services,2024,60035,OtherExpenses,Expenses,12338800000
HFCL,Telecom - Services,2024,60039,ProfitBeforeTax,Profit,75497900000
HFCL,Telecom - Services,2024,60042,TaxExpense,Tax,4510300000
HFCL,Telecom - Services,2024,60049,ProfitLossForPeriod,Profit,70987600000
HFCL,Telecom - Services,2024,600001,Total COGS,Expenses,78590200000
HFCL,Telecom - Services,2024,600002,Gross Margin,Profit,1.10608E+11
HFCL,Telecom - Services,2024,600003,Gross Margin %,Profit,58.46135631598253256600
HFCL,Telecom - Services,2024,600004,EBIDTA/ Operating Profit,Profit,84470600000
HFCL,Telecom - Services,2024,600005,Operating Profit%,Profit,44.64671365100439857100
HFCL,Telecom - Services,2024,600005,PBT%,Profit,39.90421664522526160500
HFCL,Telecom - Services,2024,600006,PAT%,Profit,37.52030943277353119300
HFCL,Telecom - Services,2025,60026,RevenueFromOperations,Revenue / Income,73669700000
HFCL,Telecom - Services,2025,60027,OtherIncome,Revenue / Income,933500000
HFCL,Telecom - Services,2025,60028,Income,Revenue / Income,74603200000
HFCL,Telecom - Services,2025,60029,CostOfMaterialsConsumed,Expenses,24282500000
HFCL,Telecom - Services,2025,60031,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,Expenses,1648300000
HFCL,Telecom - Services,2025,60032,EmployeeBenefitExpense,Expenses,5096100000
HFCL,Telecom - Services,2025,60033,FinanceCosts,Expenses,2634500000
HFCL,Telecom - Services,2025,60034,DepreciationDepletionAndAmortisationExpense,Expenses,1520000000
HFCL,Telecom - Services,2025,60035,OtherExpenses,Expenses,4672000000
HFCL,Telecom - Services,2025,60039,ProfitBeforeTax,Profit,34749800000
HFCL,Telecom - Services,2025,60042,TaxExpense,Tax,1426700000
HFCL,Telecom - Services,2025,60049,ProfitLossForPeriod,Profit,33323100000
HFCL,Telecom - Services,2025,600001,Total COGS,Expenses,25930800000
HFCL,Telecom - Services,2025,600002,Gross Margin,Profit,48672400000
HFCL,Telecom - Services,2025,600003,Gross Margin %,Profit,65.24170544963218735900
HFCL,Telecom - Services,2025,600004,EBIDTA/ Operating Profit,Profit,38904300000
HFCL,Telecom - Services,2025,600005,Operating Profit%,Profit,52.14829926866407875300
HFCL,Telecom - Services,2025,600005,PBT%,Profit,46.57950329208398567400
HFCL,Telecom - Services,2025,600006,PAT%,Profit,44.66711883672550239100
IDEA,Telecom - Services,2019,60026,RevenueFromOperations,Revenue / Income,1.51431E+12
IDEA,Telecom - Services,2019,60027,OtherIncome,Revenue / Income,39435000000
IDEA,Telecom - Services,2019,60028,Income,Revenue / Income,1.55375E+12
IDEA,Telecom - Services,2019,60029,CostOfMaterialsConsumed,Expenses,260000000
IDEA,Telecom - Services,2019,60031,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,Expenses,0
IDEA,Telecom - Services,2019,60032,EmployeeBenefitExpense,Expenses,91237000000
IDEA,Telecom - Services,2019,60033,FinanceCosts,Expenses,3.93484E+11
IDEA,Telecom - Services,2019,60034,DepreciationDepletionAndAmortisationExpense,Expenses,5.87862E+11
IDEA,Telecom - Services,2019,60035,OtherExpenses,Expenses,1.27776E+12
IDEA,Telecom - Services,2019,60039,ProfitBeforeTax,Profit,-7.96854E+11
IDEA,Telecom - Services,2019,60042,TaxExpense,Tax,-1.01001E+11
IDEA,Telecom - Services,2019,60049,ProfitLossForPeriod,Profit,-6.95853E+11
IDEA,Telecom - Services,2019,600001,Total COGS,Expenses,260000000
IDEA,Telecom - Services,2019,600002,Gross Margin,Profit,1.55349E+12
IDEA,Telecom - Services,2019,600003,Gross Margin %,Profit,99.98326625892117571300
IDEA,Telecom - Services,2019,600004,EBIDTA/ Operating Profit,Profit,1.84492E+11
IDEA,Telecom - Services,2019,600005,Operating Profit%,Profit,11.87400522736327085400
IDEA,Telecom - Services,2019,600005,PBT%,Profit,-51.28595582
IDEA,Telecom - Services,2019,600006,PAT%,Profit,-44.78547666
IDEA,Telecom - Services,2020,60026,RevenueFromOperations,Revenue / Income,2.00046E+12
IDEA,Telecom - Services,2020,60027,OtherIncome,Revenue / Income,51156000000
IDEA,Telecom - Services,2020,60028,Income,Revenue / Income,2.05161E+12
IDEA,Telecom - Services,2020,60029,CostOfMaterialsConsumed,Expenses,279000000
IDEA,Telecom - Services,2020,60031,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,Expenses,0
IDEA,Telecom - Services,2020,60032,EmployeeBenefitExpense,Expenses,1.00313E+11
IDEA,Telecom - Services,2020,60033,FinanceCosts,Expenses,6.79383E+11
IDEA,Telecom - Services,2020,60034,DepreciationDepletionAndAmortisationExpense,Expenses,1.09392E+12
IDEA,Telecom - Services,2020,60035,OtherExpenses,Expenses,1.25691E+12
IDEA,Telecom - Services,2020,60039,ProfitBeforeTax,Profit,-1.0792E+12
IDEA,Telecom - Services,2020,60042,TaxExpense,Tax,6.89577E+11
IDEA,Telecom - Services,2020,60049,ProfitLossForPeriod,Profit,-1.76877E+12
IDEA,Telecom - Services,2020,600001,Total COGS,Expenses,279000000
IDEA,Telecom - Services,2020,600002,Gross Margin,Profit,2.05133E+12
IDEA,Telecom - Services,2020,600003,Gross Margin %,Profit,99.98640093078073767400
IDEA,Telecom - Services,2020,600004,EBIDTA/ Operating Profit,Profit,6.94108E+11
IDEA,Telecom - Services,2020,600005,Operating Profit%,Profit,33.83233956144707744300
IDEA,Telecom - Services,2020,600005,PBT%,Profit,-52.60241829
IDEA,Telecom - Services,2020,600006,PAT%,Profit,-86.21390702
IDEA,Telecom - Services,2021,60026,RevenueFromOperations,Revenue / Income,1.90879E+12
IDEA,Telecom - Services,2021,60027,OtherIncome,Revenue / Income,10795000000
IDEA,Telecom - Services,2021,60028,Income,Revenue / Income,1.91959E+12
IDEA,Telecom - Services,2021,60029,CostOfMaterialsConsumed,Expenses,127000000
IDEA,Telecom - Services,2021,60031,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,Expenses,0
IDEA,Telecom - Services,2021,60032,EmployeeBenefitExpense,Expenses,90147000000
IDEA,Telecom - Services,2021,60033,FinanceCosts,Expenses,7.95639E+11
IDEA,Telecom - Services,2021,60034,DepreciationDepletionAndAmortisationExpense,Expenses,1.05292E+12
IDEA,Telecom - Services,2021,60035,OtherExpenses,Expenses,1.07409E+12
IDEA,Telecom - Services,2021,60039,ProfitBeforeTax,Profit,-1.09334E+12
IDEA,Telecom - Services,2021,60042,TaxExpense,Tax,-424000000
IDEA,Telecom - Services,2021,60049,ProfitLossForPeriod,Profit,-1.09291E+12
IDEA,Telecom - Services,2021,600001,Total COGS,Expenses,127000000
IDEA,Telecom - Services,2021,600002,Gross Margin,Profit,1.91946E+12
